direction_id,role,feature_id,matched_target_feature_id,control_panel,k,target_norm,fitted_norm,remainder_norm,explained_squared_norm,fit_cosine
random-residual-for-41533,isotropic_control,,41533,,5,1.290425419807434,0.11577057838439941,1.2852216958999634,0.00804886768544133,0.08971504867076874
random-residual-for-41533,isotropic_control,,41533,,10,1.290425419807434,0.14660228788852692,1.2820707559585571,0.01290677976189425,0.11360771954059601
random-residual-for-41533,isotropic_control,,41533,,16,1.290425419807434,0.1694205403327942,1.2792552709579468,0.017237421542702802,0.13129043579101562
random-residual-for-41533,isotropic_control,,41533,,25,1.290425419807434,0.18954752385616302,1.2764283418655396,0.02157608720266313,0.1468876302242279
sae-target-23893,target,23893,23893,,5,1.289405107498169,0.21008023619651794,1.272175908088684,0.02654571461500055,0.16292804479599
sae-target-23893,target,23893,23893,,10,1.289405107498169,0.23988506197929382,1.2668941020965576,0.034612088506563055,0.18604320287704468
sae-target-23893,target,23893,23893,,16,1.289405107498169,0.2555612623691559,1.2638250589370728,0.039283715689849785,0.19820091128349304
sae-target-23893,target,23893,23893,,25,1.289405107498169,0.26766833662986755,1.2613164186477661,0.043093894313085856,0.20759055018424988
sae-control-p1-15424,matched_control,15424,23893,1,5,1.2507940530776978,0.234962597489357,1.2285269498825073,0.03528782295435151,0.1878507435321808
sae-control-p1-15424,matched_control,15424,23893,1,10,1.2507940530776978,0.2688800096511841,1.2215520143508911,0.046210992231254355,0.21496742963790894
sae-control-p1-15424,matched_control,15424,23893,1,16,1.2507940530776978,0.2887929677963257,1.2169981002807617,0.053309137793742245,0.23088771104812622
sae-control-p1-15424,matched_control,15424,23893,1,25,1.2507940530776978,0.30439838767051697,1.2131890058517456,0.059225977937059526,0.2433640956878662
sae-control-p2-51407,matched_control,51407,23893,2,5,1.2273800373077393,0.367345929145813,1.1711187362670898,0.08957589597606408,0.29929274320602417
sae-control-p2-51407,matched_control,51407,23893,2,10,1.2273800373077393,0.39082324504852295,1.163494348526001,0.10139165917961401,0.31842073798179626
sae-control-p2-51407,matched_control,51407,23893,2,16,1.2273800373077393,0.3988569676876068,1.1607649326324463,0.10560276523494339,0.3249661922454834
sae-control-p2-51407,matched_control,51407,23893,2,25,1.2273800373077393,0.40217462182044983,1.1596195697784424,0.10736695354275483,0.3276691436767578
sae-control-p3-26362,matched_control,26362,23893,3,5,1.0723052024841309,0.36940205097198486,1.0066680908203125,0.11867563006104598,0.34449338912963867
sae-control-p3-26362,matched_control,26362,23893,3,10,1.0723052024841309,0.39632511138916016,0.9963759183883667,0.13660482209703773,0.3696010112762451
sae-control-p3-26362,matched_control,26362,23893,3,16,1.0723052024841309,0.4054916203022003,0.9926807880401611,0.1429968711867574,0.37814947962760925
sae-control-p3-26362,matched_control,26362,23893,3,25,1.0723052024841309,0.41223472356796265,0.9898995161056519,0.14779241004780497,0.3844378888607025
random-residual-for-23893,isotropic_control,,23893,,5,1.2893099784851074,0.11745261400938034,1.2839491367340088,0.00829854244094208,0.09109726548194885
random-residual-for-23893,isotropic_control,,23893,,10,1.2893099784851074,0.14250189065933228,1.281410813331604,0.012215786011744445,0.1105256974697113
random-residual-for-23893,isotropic_control,,23893,,16,1.2893099784851074,0.16202810406684875,1.2790883779525757,0.015793071444505036,0.1256704032421112
random-residual-for-23893,isotropic_control,,23893,,25,1.2893099784851074,0.1782800853252411,1.2769246101379395,0.0191201191269037,0.13827559351921082
