transport,layer,position,sign,n_pairs,n_template_families,mean_target_minus_matched,ci_low,ci_high
random_j_4,55,content_mean,suppression,306,51,-0.00989996962511023,-0.015382941410929312,-0.004421920893356982
random_j_4,55,last_content,amplification,306,51,0.01205586951706875,0.0013276949370419908,0.023321153024372075
random_j_4,55,last_content,suppression,306,51,-0.01836094582184017,-0.028857169134987086,-0.008631918635312546
random_j_4,60,assistant_boundary,amplification,306,51,0.024242249649973725,0.01218040715471242,0.03658343585102672
random_j_4,60,assistant_boundary,suppression,306,51,-0.019729495307794328,-0.03216830415010063,-0.0073851740520255015
random_j_4,60,content_mean,amplification,306,51,0.057888456712723434,0.05190871378184418,0.06415361386450469
random_j_4,60,content_mean,suppression,306,51,-0.05255714832885751,-0.058900268560340495,-0.04658668937754674
random_j_4,60,last_content,amplification,306,51,0.06652071345004015,0.054225836368962464,0.07921422357165733
random_j_4,60,last_content,suppression,306,51,-0.057673448594013126,-0.06988479205010782,-0.045056343711688186
random_j_4,65,assistant_boundary,amplification,306,51,-0.011034069077830435,-0.027411335167058272,0.005924348842814464
random_j_4,65,assistant_boundary,suppression,306,51,0.00513916415912997,-0.009494845244419185,0.019991396651076798
random_j_4,65,content_mean,amplification,306,51,-0.06474846311551184,-0.07314106121146063,-0.056913203023630114
random_j_4,65,content_mean,suppression,306,51,0.06493591250995558,0.057276460392260996,0.07325604423318283
random_j_4,65,last_content,amplification,306,51,-0.04518124827456656,-0.06040636281772974,-0.029412634566526527
random_j_4,65,last_content,suppression,306,51,0.04381048477203829,0.028725589403673,0.05823761874359418
random_j_4,70,assistant_boundary,amplification,306,51,0.058411210172564655,0.03911620156407783,0.07789118357146445
random_j_4,70,assistant_boundary,suppression,306,51,-0.05861988879745564,-0.07759150584423599,-0.039884219990349
random_j_4,70,content_mean,amplification,306,51,0.05488077247799892,0.046361592033312256,0.06337685369791536
random_j_4,70,content_mean,suppression,306,51,-0.04153534466761401,-0.049223849072824524,-0.03385446351636895
random_j_4,70,last_content,amplification,306,51,0.00789993768025287,-0.01090931392465399,0.026292727577550995
random_j_4,70,last_content,suppression,306,51,-0.0009145645490445022,-0.01906069163422074,0.0175726290926071
random_j_4,75,assistant_boundary,amplification,306,51,-0.04640478979540514,-0.06654029682094025,-0.02580593925430151
random_j_4,75,assistant_boundary,suppression,306,51,0.031022478528838195,0.010106079174689581,0.05301898147161741
random_j_4,75,content_mean,amplification,306,51,-0.05866811177068431,-0.06547192730849573,-0.051766290584230025
random_j_4,75,content_mean,suppression,306,51,0.049667938230437476,0.042695532933378216,0.056766612366605795
random_j_4,75,last_content,amplification,306,51,-0.08005985360705975,-0.0978573565981659,-0.062427502607521945
random_j_4,75,last_content,suppression,306,51,0.07667254085357307,0.05940416450243217,0.09433334582503133
random_j_4,78,assistant_boundary,amplification,306,51,-0.052018072616002296,-0.0724049668208156,-0.031659038893761385
random_j_4,78,assistant_boundary,suppression,306,51,0.04078175724229891,0.019921427673469615,0.060976168789147175
random_j_4,78,content_mean,amplification,306,51,-0.08276481905012782,-0.0914266677321661,-0.0740805361209603
random_j_4,78,content_mean,suppression,306,51,0.07740350132556997,0.07006143313240804,0.08499495622874474
random_j_4,78,last_content,amplification,306,51,-0.09073273266803167,-0.10637342280463014,-0.0752416137557744
random_j_4,78,last_content,suppression,306,51,0.09528650618401763,0.07963964393024951,0.11073963023253085
random_j_5,50,assistant_boundary,amplification,306,51,0.015750517542519625,0.014670372434702109,0.016801660602081613
random_j_5,50,assistant_boundary,suppression,306,51,-0.016769666181823233,-0.017950306333060488,-0.015575256896489816
random_j_5,50,content_mean,amplification,306,51,0.01676376534453167,0.015100077661162344,0.018477670124711413
random_j_5,50,content_mean,suppression,306,51,-0.01707933605811216,-0.01862498705189971,-0.015476799319580084
random_j_5,50,last_content,amplification,306,51,0.01663569344752723,0.015198586879769148,0.01809891543420937
random_j_5,50,last_content,suppression,306,51,-0.015936367265513743,-0.017302220746592996,-0.014611272236938963
random_j_5,55,assistant_boundary,amplification,306,51,0.16915384139994985,0.15502106354576062,0.1831933523827591
random_j_5,55,assistant_boundary,suppression,306,51,-0.1684134748937057,-0.18256762484866065,-0.15405267438758283
random_j_5,55,content_mean,amplification,306,51,0.1740925622346135,0.16856836802471659,0.17959345540593796
random_j_5,55,content_mean,suppression,306,51,-0.1746004620896094,-0.1801441119870801,-0.1691956196502895
random_j_5,55,last_content,amplification,306,51,0.13827199708003463,0.12596166866999683,0.15013469308190774
random_j_5,55,last_content,suppression,306,51,-0.13636497016417395,-0.14810984793343154,-0.12426359881819202
random_j_5,60,assistant_boundary,amplification,306,51,0.05037251454960628,0.03661396214888763,0.06335455487572415
