from_layer,to_layer,from_feature_id,to_feature_id,n_common_items,activation_spearman,decoder_cosine,top20_item_jaccard,selected_descriptive_edge
6,7,11864,5976,1110,0.1956230022193786,0.03451631127796174,0.0,0
6,7,11864,10082,1110,0.8290211847467687,0.9078118835567304,1.0,1
6,7,11864,11393,1110,0.17617030393062377,0.019109089334130563,0.0,0
6,7,11864,13264,1110,0.15804246367927255,0.023881294202495337,0.0,0
6,7,11864,14447,1110,0.22529525103417314,-0.017735494697781587,0.0,0
6,7,12260,3333,1110,0.33804568352848713,0.05048079682501726,0.0,1
6,7,12260,5976,1110,0.22567413526019175,0.004501648367861182,0.0,0
6,7,12260,10082,1110,0.15809775272239288,-0.017792722677938678,0.08108108108108109,0
6,7,12260,11393,1110,0.21263267097815133,-0.04925243628217216,0.0,0
6,7,12260,13264,1110,0.1616433736783385,-0.043239241897115824,0.0,0
6,7,12260,14447,1110,0.19241954906383155,0.05280824088712288,0.0,0
7,8,3333,4971,1110,0.4157307155400554,-0.018349487202877258,0.0,0
7,8,3333,6017,1110,0.3266370631766786,0.00040169389155356465,0.02564102564102564,0
7,8,3333,11393,1110,0.20951521608788415,-0.011382534092799686,0.0,0
7,8,3333,13208,1110,0.27251077530535617,-0.004625701036689079,0.0,0
7,8,3333,13216,1110,0.83015064516995,0.3842931710423818,0.3333333333333333,1
7,8,3333,16294,1110,0.36418526010821484,0.020551863344614167,0.0,0
7,8,5976,4971,1110,0.8041412096356494,0.549330820732401,0.2903225806451613,1
7,8,5976,6017,1110,0.14293911809896503,0.00581930281734328,0.0,0
7,8,5976,11393,1110,0.1632947693177627,-0.004038177692775012,0.0,0
7,8,5976,13208,1110,0.1792278523393982,0.03533763253793383,0.0,0
7,8,5976,13216,1110,0.2941850610490684,0.010279459483840214,0.0,0
7,8,5976,16294,1110,0.640455652492422,0.16250804826333687,0.0,1
7,8,10082,4971,1110,0.11966084687537767,0.010672664437072554,0.0,0
7,8,10082,6017,1110,0.16164511624698313,0.0048364098357060285,0.0,0
7,8,10082,11393,1110,0.1454949180102331,0.010040256901113466,0.0,0
7,8,10082,13208,1110,0.8119815843893993,0.9083020367234055,0.9047619047619048,1
7,8,10082,13216,1110,0.18410926549285778,-0.012859963427170645,0.0,0
7,8,10082,16294,1110,0.094608490247721,0.01990164171811221,0.0,0
7,8,11393,4971,1110,0.2995370606794795,-0.019023771632807294,0.0,0
7,8,11393,6017,1110,0.36657810899466015,-0.013283687312605798,0.05263157894736842,0
7,8,11393,11393,1110,0.9679111043941604,0.963708621827239,0.3793103448275862,1
7,8,11393,13208,1110,0.1946291580102066,0.009914726593418575,0.0,0
7,8,11393,13216,1110,0.19821692154884982,-0.02353305213100591,0.0,0
7,8,11393,16294,1110,0.24997502862535845,-0.002886159853793714,0.02564102564102564,0
7,8,13264,4971,1110,0.1913609593728397,-0.027200519064934522,0.0,0
7,8,13264,6017,1110,-0.07546717445197265,-0.030651826730252414,0.0,0
7,8,13264,11393,1110,-0.14543805670947388,0.46929440722983284,0.0,0
7,8,13264,13208,1110,0.10856418043933626,0.011871816433325426,0.02564102564102564,0
7,8,13264,13216,1110,0.16622936047399248,-0.005917241041492685,0.0,0
7,8,13264,16294,1110,0.11889751090247667,-0.012926979216266721,0.0,0
7,8,14447,4971,1110,0.1742801040619325,-0.004326356116325185,0.0,0
7,8,14447,6017,1110,0.23941559447257962,0.0032620925125514838,0.0,0
7,8,14447,11393,1110,0.04834775989825582,-0.022882338886108095,0.0,0
7,8,14447,13208,1110,0.22534918041818577,-0.024100227402488808,0.0,0
7,8,14447,13216,1110,0.695245175472418,0.8803041454066073,1.0,1
7,8,14447,16294,1110,0.10539294880985997,-0.008039866280641203,0.0,0
8,9,4971,2416,1110,0.23639137988040743,-0.015537962363328356,0.0,0
8,9,4971,4126,1110,0.7412041893985614,0.2330288735497455,0.02564102564102564,1
8,9,4971,11058,1110,0.7786706590770547,0.2671335704853775,0.0,1
8,9,4971,14467,1110,0.6775760131909749,0.19271687939637946,0.0,1
8,9,4971,14900,1110,0.21365442329598747,-0.00016297971863170566,0.0,0
8,9,4971,15652,1110,0.8179626102527089,0.5024125838912022,0.3793103448275862,1
8,9,6017,2416,1110,0.35338098753644875,0.009832803550240821,0.08108108108108109,0
8,9,6017,4126,1110,0.3139715511991927,0.004347577749482338,0.0,0
8,9,6017,11058,1110,0.12399281618189166,0.0013337665163991941,0.0,0
8,9,6017,14467,1110,0.2142374835256323,-0.0007857948114679443,0.0,0
8,9,6017,14900,1110,0.22557015375878486,0.006741923407060298,0.0,0
8,9,6017,15652,1110,0.33757313945292283,0.00325392119704162,0.0,0
8,9,11393,2416,1110,0.982506058291714,0.9655915573096079,0.48148148148148145,1
